_65_exemptions,additions,balance_due,basic_exemptions,blind_exemptions,county,dec_spouse,earn_income_credits,earn_income_returns,education_credits,education_returns,enterprise_zone_credit,married,married_sep,overpayments,property_tax_credits,property_tax_returns,reported_liability,retirement_amounts,retirement_returns,returns,single,subtractions,total_agi,widowed
1469,197772015,242121,9589,31,JOHNSON,10,84845,811,5830,24,0,2522,52,830450,132701,1866,4026932,46430557,1658,4679,2082,48080396,196492558,13
36091,13024751740,11982925,477495,686,KANE,463,3251660,28432,2968934,11600,5256,91720,1938,57264644,29142216,97614,325693069,1281493913,47892,208856,114366,1418790994,12872031999,369
10216,2196367951,2696574,96946,155,KANKAKEE,118,1040997,9006,539878,1876,7124,18769,492,9467334,3858571,19443,51656496,279617725,12449,47046,27562,297794222,2178368780,105
6837,3007941204,2325034,108290,126,KENDALL,105,527867,5033,577067,2740,1,23856,581,12908384,7336298,25708,76129112,256459226,10939,47597,22973,281334728,2990271704,82
6532,991617130,1583809,42390,118,KNOX,55,460287,4180,90517,270,101,9270,205,3672090,929062,9450,22458516,157194358,7290,22276,12686,166531894,981114200,60
56085,27593330187,31993102,660175,1027,LAKE,643,3713397,33729,4166413,17533,18693,135973,3479,134297032,57117596,145671,725028487,2116120121,70595,302024,161358,2576261270,26884053773,571
13372,2425800747,3425900,99847,241,LASALLE,99,804184,7697,422905,1536,3000,21901,434,10098410,3766473,23214,56689234,328941297,15099,51300,28731,353202528,2401262947,135
1676,266967133,521122,11969,26,LAWRENCE,9,121477,1126,4623,23,0,2839,55,1053800,139988,2313,6236289,33989795,1844,6033,3110,36607880,263014646,20
4279,771165703,1680850,31154,74,LEE,25,244237,2418,144174,506,3862,7100,161,2914504,958624,7262,18081726,111499467,4910,16183,8864,118485435,763534492,33
4706,821095264,2335776,32418,73,LIVINGSTON,26,254224,2453,97702,382,134,7327,149,3024389,1102358,7679,19331291,110512475,5092,16641,9112,119693353,811611239,27
3473,567595864,1255718,22890,48,LOGAN,33,200137,1881,67093,216,95,5223,151,2035331,581488,5319,12973240,89331325,3814,12009,6579,93994793,563145117,23
12451,2457320596,3103989,92423,203,MACON,148,1098257,9398,468186,1272,27051,19283,517,8939843,2732666,20944,57584380,333522530,14238,47680,27620,358879642,2423426297,112
5596,939457818,1472909,41044,105,MACOUPIN,36,350259,3324,52931,268,422,9731,181,3186661,803765,9315,21464563,142139829,6520,20767,10763,151010959,929293387,56
27976,6247923235,7258247,227766,475,MADISON,265,1905772,17952,988188,2979,3153,50218,1280,18495238,6976487,50353,146473900,850484713,34784,117339,65307,934074295,6190928604,269
4558,680339983,980452,33388,77,MARION,47,408740,3666,75681,231,115,7425,178,2889945,579033,6853,15204704,105208012,5043,16921,9246,110724048,672927330,25
1820,280997735,669754,11378,37,MARSHALL,14,84704,777,11988,61,10334,2763,49,1075279,329550,2720,6400342,44661101,1968,5806,2963,47473157,277438062,17
2087,317686837,756161,14005,21,MASON,12,130340,1227,9365,43,30,3370,68,1196714,320150,3231,7143034,50041817,2358,7097,3633,52856491,315554670,14
1669,266376603,635468,12820,37,MASSAC,15,167751,1401,1408,11,0,2924,66,1478105,201664,2640,5897779,42331005,1910,6234,3147,44403351,264540438,82
3551,543568915,1156060,23160,67,MCDONOUGH,38,197702,2059,44373,133,191,5343,138,2067539,546436,5295,12095415,91076229,3515,12507,6961,96578778,538289882,27
25713,8989170068,8414718,302101,473,MCHENRY,256,1258117,13070,1524438,7273,3358,67059,1482,38631408,21745282,72268,225199769,901579426,34412,139220,70139,1006669120,8872570779,284
13784,4451712167,5995273,141273,292,MCLEAN,130,932989,8819,791227,2989,895,30803,763,14240773,6080726,32029,108917662,479267498,17007,70965,39096,521472116,4404383335,173
1498,314313022,597764,11578,21,MENARD,11,83180,762,15114,60,0,2861,41,1041102,391114,2936,7134270,50581800,1753,5874,2949,54306734,311406368,12
2514,379687175,1020399,15792,33,MERCER,22,106900,1077,10645,69,11,4019,68,1293759,428460,3776,8781040,54338009,2716,7928,3808,58366801,376216888,11
3659,975386835,1281449,30703,58,MONROE,24,113723,1211,129066,396,16,7818,129,2413811,1180011,7373,23729434,114670128,4599,15165,7154,130284229,957679605,40
3575,589163805,1269236,24899,47,MONTGOMERY,24,222035,2143,45855,182,85,5852,122,2127908,522163,5884,13465101,86053933,3951,12687,6653,92654104,583046099,36
4237,733058951,1709279,29212,103,MORGAN,36,288353,2679,128762,347,6,6489,150,2657448,687607,6747,16971411,108772949,4569,15414,8701,117841041,722979955,38
1843,330440484,832088,13892,29,MOULTRIE,9,113966,1042,49091,146,2517,3367,51,1175558,357829,3212,7766720,40224878,1995,6769,3323,45494868,323806957,19
6085,1168603460,1699253,49361,86,OGLE,44,360815,3493,101244,419,1582,11283,190,4845065,1879968,11245,27245295,164806565,6930,24158,12579,177778476,1155861501,62
19575,4750387812,5087364,161117,364,PEORIA,211,1779064,15215,1066038,2852,16658,31807,932,17444832,5875374,34986,112129897,619083132,23111,82928,49787,684173037,4700470922,191
2288,350254362,483839,17183,38,PERRY,25,187602,1748,49651,156,0,3981,74,1355717,306126,3896,7888528,51408403,2709,8647,4543,55212609,347368697,24
2141,418256486,835765,15048,31,PIATT,13,90305,892,37497,163,4335,3793,70,1338342,498241,3758,9861742,57247586,2371,7608,3701,61234426,413655921,31
2104,263072304,886940,13433,31,PIKE,15,141559,1307,5798,37,0,3281,48,1010443,196442,2645,6457849,36374416,1929,6709,3354,40365739,259931451,11
532,57499868,95648,2891,6,POPE,4,27691,275,,,0,757,15,257872,41776,587,1153784,14547120,575,1451,663,15034168,57052156,12
640,89544245,215629,5041,9,PULASKI,4,81628,677,4239,16,2942,1043,28,399534,33430,791,1966416,14129216,683,2423,1342,14788267,89158972,6
882,144284803,269004,5615,13,PUTNAM,7,34681,361,16665,47,33876,1394,21,592749,179155,1407,3290693,21958542,985,2953,1522,24973730,139150185,9
3651,610296658,1005076,25948,53,RANDOLPH,26,226554,2124,100855,338,0,6132,114,2140315,483960,5733,13802126,96049293,4472,13352,7052,101467235,604603718,28
2258,301645553,607855,14155,35,RICHLAND,19,135739,1327,36783,109,380,3407,76,1158305,246530,3133,6969136,38654387,2119,7248,3733,42146749,298246850,13
17497,3216646343,3350615,125233,273,ROCK ISLAND,141,1283572,11574,446007,1404,16230,26037,716,11966887,4059418,28043,72310729,527056457,20330,65262,38220,560187214,3184228820,148
2730,442361768,760589,20433,44,SALINE,41,246919,2222,10737,47,522,4627,111,1658294,295031,4074,9956248,66521382,2994,10146,5342,71928955,436433750,25
21129,5339696306,7410439,172867,499,SANGAMON,207,1616829,14337,1096180,2948,14716,35304,983,17951422,6057347,40077,123934636,799280324,26070,92576,55842,880286216,5257514619,240
970,139395430,376282,6226,15,SCHUYLER,9,52976,516,7027,30,0,1519,34,474685,134972,1442,3216213,19446215,956,3170,1597,21124661,137850683,11
610,96056786,247017,4152,6,SCOTT,7,32990,323,4498,16,0,998,26,314339,68500,981,2195657,14574427,604,2090,1057,15745810,94821499,2
3003,425576062,1121268,19686,39,SHELBY,16,166774,1642,30130,117,50,4924,74,1548162,401413,4586,9678240,62053890,3097,9875,4832,68251928,419324899,29
22302,5559198843,6361987,211770,405,ST CLAIR,278,2653968,21699,848289,2763,6314,39926,1394,16917253,5995359,40130,125634622,805942289,31137,107235,65408,943174777,5518715872,229
801,115392156,573837,4706,16,STARK,4,33880,331,9276,28,0,1161,14,357498,106452,1081,2695384,15764290,775,2345,1161,17014006,113752296,5
6518,916023101,1457486,41588,87,STEPHENSON,36,405681,3701,186182,596,6726,9526,166,4102716,1309418,9554,20767202,150261337,7134,21353,11577,163168378,902957182,48
15874,3300560810,4043232,120229,237,TAZEWELL,120,869313,8363,381122,1319,15652,28258,622,11461570,4173535,29531,76424247,486445898,19043,60978,31827,521176698,3270183493,151
2098,318571299,625012,14919,26,UNION,19,159042,1441,10493,39,67,3551,85,1152234,241026,2988,6986915,58469820,2278,7449,3775,62422818,311702832,19
8847,1368131699,2061018,65364,160,VERMILION,90,836630,7121,210555,616,3358,13669,309,5646871,1289844,13260,30695780,211053639,10306,32650,18494,220706342,1354492951,88
1465,243239400,579517,10589,17,WABASH,6,94248,930,25273,76,0,2596,43,820445,184835,2251,5711498,30809149,1628,5279,2625,33166317,240159448,9
2020,301382645,982789,14195,26,WARREN,17,125282,1239,35845,110,0,3079,87,1034847,241249,2955,7071495,38005996,2005,6973,3779,40546584,299234331,11
2007,351336923,729976,13738,29,WASHINGTON,12,94512,924,61339,208,227,3416,64,1319621,376260,3449,8243365,44837013,2205,7110,3599,50814200,346966125,19
2237,292220206,794079,14043,26,WAYNE,14,146853,1342,852,6,1371,3500,68,1184039,180814,3039,6767490,36436955,2095,7026,3436,40818638,288624824,8
2073,288565851,751287,12538,35,WHITE,15,120743,1132,5289,29,7884,3196,48,1054830,155489,2822,6707747,37376108,1954,6320,3048,40926627,282739145,13
7666,1164883992,2025274,52138,111,WHITESIDE,44,475270,4553,187360,690,2635,11686,227,4678724,1394813,11912,26517741,179430243,8480,26489,14480,195193948,1153997539,52
47144,18058166320,15777090,629177,897,WILL,683,3989514,35693,4240351,19435,8469,130231,3082,76941603,40472020,143927,450907789,1771268907,68076,283820,149240,1938814984,17915647389,584
6716,1242149611,1590131,54051,149,WILLIAMSON,80,601554,5553,141233,411,600,12422,244,4504754,1090549,11229,27903034,197684550,7840,27434,14621,213197450,1225225191,67
27580,5992878045,5865549,258331,472,WINNEBAGO,301,2827895,24692,2114253,6171,2933,50702,1321,27876942,10058686,55390,140598436,780617034,34101,126727,74054,838932891,5935303086,349
4514,1066976973,1837122,35070,86,WOODFORD,18,170856,1655,97176,395,570,8813,128,3538167,1500048,8858,25619213,129993682,5056,16931,7929,146465574,1050490858,43
53549,1.04181E+11,40360420,718845,957,OUT OF STATE,1119,2428851,31157,388102,1447,74000,165418,7873,90375547,4540686,16125,402153212,2358954251,76560,340499,165731,4555313851,97631947994,358
